"","ccg19cd","year","Treatable_Mortality_Rate","Preventatable_Mortality_Rate","dept","RGN19CD","RGN19NM","id","Unemployment_percent","Qual_lvl4_percent","BAME_percent","Est_Population","Local_Authority_Expenditure","Claimant_percent","Managerial_occupation","Professional_occupation","GDHI_per_person","Local_Authority_Spend_per_pop","CCGpop","Total_Rural_population_2011","Total_Urban_population_2011","RUC11CD","RUC11","Broad_RUC11","OBJECTID","IMD_2019_Extent","Health_Proportion_10_per","X","X.1","X.2","X.3","professional_and_managerial"
"1","E38000001","2013",75.6,136.4,"NHS_AWC_CCG","E12000003","Yorkshire and The Humber",1,8.45,31.85,23,290765,572787.5,3.35,NA,NA,16273,1.2194204098443,158605,44863,113452,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",0,0.2051,0.1134,NA,NA,NA,NA,NA
"2","E38000001","2011",85.1,136.3,"NHS_AWC_CCG","E12000003","Yorkshire and The Humber",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44863,113452,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",0,0.2051,0.1134,NA,NA,NA,NA,NA
"3","E38000001","2012",79.1,122.1,"NHS_AWC_CCG","E12000003","Yorkshire and The Humber",1,10.5,34.35,22.3,289939,536868,3.95,NA,NA,15907.5,1.17025174269167,158242,44863,113452,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",0,0.2051,0.1134,NA,NA,NA,NA,NA
"4","E38000001","2014",76.5,132.3,"NHS_AWC_CCG","E12000003","Yorkshire and The Humber",1,8.5,33.15,23,291658.5,572787.5,2.35,NA,NA,16574,1.21569326331543,158677,44863,113452,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",0,0.2051,0.1134,NA,NA,NA,NA,NA
"5","E38000001","2010",72.7,NA,"NHS_AWC_CCG","E12000003","Yorkshire and The Humber",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44863,113452,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",0,0.2051,0.1134,NA,NA,NA,NA,NA
"6","E38000001","2015",75.1,129.7,"NHS_AWC_CCG","E12000003","Yorkshire and The Humber",1,10,35.25,25,292852.5,560182.5,1.7,NA,NA,17516.5,1.20500939544622,159169,44863,113452,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",0,0.2051,0.1134,NA,NA,NA,NA,NA
"7","E38000001","2016",83.5,133.2,"NHS_AWC_CCG","E12000003","Yorkshire and The Humber",1,6.7,37.4,22.2,294441,557318.5,1.8,NA,NA,17499,1.19527840928754,159787,44863,113452,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",0,0.2051,0.1134,NA,NA,NA,NA,NA
"8","E38000001","2017",68.6,128,"NHS_AWC_CCG","E12000003","Yorkshire and The Humber",1,5.9,37.15,14.4,295702,519338.5,1.95,NA,NA,17869,1.10025122137357,159822,44863,113452,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",0,0.2051,0.1134,NA,NA,NA,NA,NA
"9","E38000001","2018",70.6,128.4,"NHS_AWC_CCG","E12000003","Yorkshire and The Humber",1,4.2,37.5,27.5,297002.5,495995,2.45,NA,NA,18437.5,1.08918078859872,160106,44863,113452,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",0,0.2051,0.1134,NA,NA,NA,NA,NA
"10","E38000002","2018",71.7,126.5,"NHS_ASH_CCG","E12000008","South East",2,4.2,28.9,6.7,129281,44409,2.2,NA,NA,21652,0.343507553314099,129281,43223,74733,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",1,0.1088,0,NA,NA,NA,NA,NA
