"","date","amount.x","cum_rolling_365_all","amount.y","cum_rolling_365_private","cum_rolling_365_health","cum_rolling_365_pubad","cum_rolling_365_realestate","cum_rolling_365_computing","cum_rolling_365_management","cum_rolling_365_bussup","cum_rolling_365_residential","cum_rolling_365_socialwork","cum_rolling_365_legal","cum_rolling_365_transport","cum_rolling_365_private2","cum_rolling_365_pubad2","cum_rolling_365_computing2","cum_rolling_365_legal2","cum_rolling_365_management2","cum_rolling_365_realestate2","cum_rolling_365_transport2","cum_rolling_365_health2","cum_rolling_365_bussup2","cum_rolling_365_residential2","cum_rolling_365_socialwork2","Rolling_Percent"
"1",2013-04-01,9700261,9700261,34428,34428,166919,0,0,0,0,0,0,0,0,0,34428,0,0,0,0,0,0,1.72076813190903,0,0,0,0.354918285188409
"2",2013-04-15,13312759,23013020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34428,0,0,0,0,0,0,0.725324186047724,0,0,0,0.149602268628802
"3",2013-04-17,48143,23061163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34428,0,0,0,0,0,0,0.723809983043787,0,0,0,0.149289955584634
"4",2013-04-18,2068365,25129528,2068365,2102793,2037284,NA,NA,NA,NA,NA,NA,NA,NA,NA,2102793,0,0,0,0,0,0,8.10713197637457,0,0,0,8.36781733425315
"5",2013-04-19,2416296,27545824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2102793,0,0,0,0,0,0,7.39598132914811,0,0,0,7.63379959154607
"6",2013-04-30,1468938932,1496484756,23443711,25546504,28487885,NA,75517,120894,NA,173920,1465445,246497,5237366,NA,25546504,0,0.00807853200744532,0.34997790515415,0,0.00504629263326756,0,1.90365353778452,0.0116219025488022,0.0979258221057348,0.0164717347778984,1.70710085068184
"7",2013-05-01,9895681,1506380437,32874,25579378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25579378,0,0.00802546269392371,0.347678838051719,0,0.00501314263947787,0,1.89114809913055,0.0115455562040069,0.0972825299642417,0.0163635290226489,1.69806891882784
"8",2013-05-23,31239,1506411676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25579378,0,0.00802529626702123,0.347671628110774,0,0.00501303868013832,0,1.89110888171316,0.011545316779661,0.0972805125814758,0.0163631896862701,1.69803370536276
"9",2013-05-29,204999,1506616675,NA,NA,28541338,NA,NA,NA,NA,NA,NA,NA,NA,NA,25579378,0,0.00802420429868135,0.347624321893291,0,0.00501235657703045,0,1.89439944968086,0.0115437458569214,0.0972672760309121,0.0163609632158094,1.69780266105179
"10",2013-05-31,1764545050,3271161725,51589878,77169256,74233505,NA,280154,1100518,7700798,491033,5035787,782535,NA,NA,77169256,0,0.0336430324306268,0.160107216955163,0.235414774547718,0.00856435797285443,0,2.26933154764765,0.0150109667842852,0.153944910809936,0.0239222351502661,2.35907798169166
