"","LAD19CD","threeyears","ccg19cd","LAD19NM","Treatable_mortality_rate","Preventable_mortality_rate","year","Broad_RUC11","one.x","one.y","include","Unemployment_percent","Qual_lvl4_percent","BAME_percent","Est_Population","Managerial_occupation","Professional_occupation","Local_Authority_Expenditure","Claimant_percent","GDHI_per_person","Local_Authority_Spend_per_pop","professional_and_managerial"
"1","E06000011","X2009.2011","E38000188","East Riding of Yorkshire",89.4,139,"2011","Predominantly Rural",1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","E06000011","X2010.2012","E38000188","East Riding of Yorkshire",84.6,143.8,"2012","Predominantly Rural",1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","E06000011","X2011.2013","E38000188","East Riding of Yorkshire",81.5,137.1,"2013","Predominantly Rural",1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","E06000011","X2012.2014","E38000188","East Riding of Yorkshire",81.3,134.3,"2014","Predominantly Rural",1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","E06000011","X2013.2015","E38000188","East Riding of Yorkshire",81.8,129.2,"2015","Predominantly Rural",1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","E06000011","X2014.2016","E38000188","East Riding of Yorkshire",80.7,129.9,"2016","Predominantly Rural",1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","E06000011","X2015.2017","E38000188","East Riding of Yorkshire",79.6,126.2,"2017","Predominantly Rural",1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","E06000011","X2016.2018","E38000188","East Riding of Yorkshire",79.5,121.1,"2018","Predominantly Rural",1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","E06000011","X2017.2019","E38000188","East Riding of Yorkshire",78.6,119.5,"2019","Predominantly Rural",1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","E06000014","X2009.2011","E38000188","York",91.1,138.5,"2011","Predominantly Urban",1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","E06000014","X2010.2012","E38000188","York",86.8,141.6,"2012","Predominantly Urban",1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","E06000014","X2011.2013","E38000188","York",84.7,147.3,"2013","Predominantly Urban",1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","E06000014","X2012.2014","E38000188","York",75.1,139.5,"2014","Predominantly Urban",1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","E06000014","X2013.2015","E38000188","York",76.5,135.7,"2015","Predominantly Urban",1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","E06000014","X2014.2016","E38000188","York",78.2,126.8,"2016","Predominantly Urban",1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","E06000014","X2015.2017","E38000188","York",82.3,130.6,"2017","Predominantly Urban",1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","E06000014","X2016.2018","E38000188","York",84.1,132.8,"2018","Predominantly Urban",1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","E06000014","X2017.2019","E38000188","York",81.7,136,"2019","Predominantly Urban",1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","E06000015","X2009.2011","E38000229","Derby",100.5,184.2,"2011","Predominantly Urban",1,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
