"","LAD19CD","threeyears","ccg19cd","LAD19NM","Treatable_mortality_rate","Preventable_mortality_rate","year","Broad_RUC11","one.x","one.y","include","Unemployment_percent","Qual_lvl4_percent","BAME_percent","Est_Population","Managerial_occupation","Professional_occupation","Local_Authority_Expenditure","Claimant_percent","GDHI_per_person","Local_Authority_Spend_per_pop","professional_and_managerial"
"1","E06000011","X2009.2011","E38000188","East Riding of Yorkshire",89.4,139,"2011","Predominantly Rural",1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","E06000011","X2010.2012","E38000188","East Riding of Yorkshire",84.6,143.8,"2012","Predominantly Rural",1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","E06000011","X2011.2013","E38000188","East Riding of Yorkshire",81.5,137.1,"2013","Predominantly Rural",1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","E06000011","X2012.2014","E38000188","East Riding of Yorkshire",81.3,134.3,"2014","Predominantly Rural",1,5,1,6.4,33.1666666666667,1.43333333333333,336405,11.9333333333333,18,634900,2.56666666666667,17028.6666666667,1.88735028746553,29.9333333333333
"5","E06000011","X2013.2015","E38000188","East Riding of Yorkshire",81.8,129.2,"2015","Predominantly Rural",1,5,1,5.5,34.3333333333333,1.36666666666667,336690,11.1,18.2,632358.333333333,1.96666666666667,17610.3333333333,1.87816247536629,29.3
"6","E06000011","X2014.2016","E38000188","East Riding of Yorkshire",80.7,129.9,"2016","Predominantly Rural",1,5,1,4.13333333333333,35.7666666666667,1.4,337267.333333333,10.3666666666667,18.2333333333333,656842.666666667,1.6,18128.3333333333,1.94745564817084,28.6
"7","E06000011","X2015.2017","E38000188","East Riding of Yorkshire",79.6,126.2,"2017","Predominantly Rural",1,5,1,3.86666666666667,36.4,1.56666666666667,337540.333333333,10.9333333333333,19.1666666666667,668345.666666667,1.5,18703.3333333333,1.97998106896926,30.1
"8","E06000011","X2016.2018","E38000188","East Riding of Yorkshire",79.5,121.1,"2018","Predominantly Rural",1,5,1,3.5,35.8666666666667,1.9,338493,11.8333333333333,19.4333333333333,678751.666666667,1.6,19234.3333333333,2.00526215174138,31.2666666666667
"9","E06000011","X2017.2019","E38000188","East Riding of Yorkshire",78.6,119.5,"2019","Predominantly Rural",1,5,1,3.43333333333333,35.7,2.06666666666667,339616,13.0666666666667,19.3,687155.333333333,1.83333333333333,19894,2.02307023378935,32.3666666666667
"10","E06000014","X2009.2011","E38000188","York",91.1,138.5,"2011","Predominantly Urban",1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","E06000014","X2010.2012","E38000188","York",86.8,141.6,"2012","Predominantly Urban",1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","E06000014","X2011.2013","E38000188","York",84.7,147.3,"2013","Predominantly Urban",1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","E06000014","X2012.2014","E38000188","York",75.1,139.5,"2014","Predominantly Urban",1,5,1,4.73333333333333,40.5666666666667,3.9,201778,8.96666666666667,22.4,347254.333333333,1.53333333333333,16969.6666666667,1.72107322345779,31.3666666666667
"14","E06000014","X2013.2015","E38000188","York",76.5,135.7,"2015","Predominantly Urban",1,5,1,4.36666666666667,40.4,4.5,203850.333333333,9.56666666666667,22.3,344956.333333333,1.06666666666667,17553,1.69241902930663,31.8666666666667
"15","E06000014","X2014.2016","E38000188","York",78.2,126.8,"2016","Predominantly Urban",1,5,1,4.1,41.3,4.93333333333333,205452.666666667,9.63333333333333,22.3,347115.333333333,0.766666666666667,18036,1.68953476349579,31.9333333333333
